x,t,tf,ts
0.6240625,0.895,1.0055166,1.0028706
0.7835125,0.778,1.1785464,1.1032021
0.39810625,0.469,1.0135546,1.0053794
0.41590625,0.948,1.0001242,1.0003198
0.94975,0.457,2.519102,2.1744826
0.4155844,0.479,1.0213557,1.0084931
0.7788031,0.993,1.0310298,1.0207139
0.2395625,0.723,1.0003135,1.0002033
0.34712186,0.067,3.0069265,1.530951
0.27600312,0.428,0.9999481,1.0002533
0.7563844,0.833,1.088979,1.0487691
0.8521375,0.145,3.5405877,3.0934184
0.010440625,0.428,0.99997157,0.9998919
0.76192814,0.558,1.6448928,1.4131594
0.78310627,0.866,1.0866306,1.0485096
0.7272969,0.916,1.0273007,1.0145891
0.33194062,0.864,1.0000553,0.99996513
0.09474687,0.245,0.99980074,0.9999936
0.7635375,0.671,1.3330725,1.1999956
0.30922812,0.423,1.0001445,1.0001198
0.5528125,0.908,1.001087,1.0005547
0.3321875,0.062,2.942758,1.435791
0.33334374,0.416,1.0015694,1.0004692
0.1943375,0.477,1.0001363,1.0001055
0.62570935,0.292,2.4073,1.9202954
0.5650906,0.054,3.675862,2.673923
0.47165,0.67,1.0033419,1.0018027
0.10005,0.987,0.9999431,1.0000968
0.19085938,0.363,0.9998262,0.9999204
0.62282187,0.675,1.0906844,1.0469975
0.74158126,0.764,1.1407781,1.0787345
0.6104031,0.299,2.3139095,1.8376911
0.8722344,0.355,2.762385,2.3721476
0.17785938,0.646,1.0002472,1.000197
0.9010625,0.996,1.1102049,1.0807464
0.8485906,0.264,3.0913963,2.6712372
0.7830125,0.141,3.4853134,2.9756682
0.13966562,0.86,1.0000253,1.0000467
0.73228127,0.03,3.8802378,3.136442
0.21408124,0.047,1.0028045,0.998137
0.7942156,0.774,1.1994092,1.1166506
0.8735875,0.274,3.094285,2.6883905
0.7812156,0.942,1.0431232,1.0259233
0.46109375,0.032,3.7389638,2.310041
0.6484906,0.061,3.7044792,2.8996177
0.46017814,0.748,1.0007498,1.0005333
0.21534374,0.882,1.0000663,0.9999527
0.117725,0.059,0.99993116,0.9996797
0.7674406,0.54,1.7228981,1.4706465
0.5031094,0.972,1.0003278,1.0002643
0.0718875,0.071,0.999503,0.9996389
0.8274438,0.259,3.074653,2.6421926
0.6725063,0.651,1.1963787,1.10827
0.26907814,0.388,0.99984366,1.00026
0.62630624,0.695,1.0764344,1.0395721
0.90775,0.211,3.3746867,2.9820507
0.80255,0.133,3.535953,3.0391455
0.41985938,0.209,1.987204,1.4211093
0.3369875,0.829,1.0002058,1.000026
0.864825,0.089,3.7316728,3.256921
0.27018124,0.127,1.0635369,1.0072235
0.26585,0.749,1.0003188,1.0001738
0.6926594,0.472,1.7585224,1.4773978
0.62850624,0.189,3.0024,2.3852375
0.9445375,0.321,3.0342312,2.6632297
0.9517625,0.514,2.3025088,1.9812853
0.2793531,0.098,1.4461243,1.0430734
0.6064219,0.665,1.0810313,1.0414734
0.1833875,0.819,1.0001483,1.000009
0.28625312,0.792,1.0002015,1.0000681
0.53220624,0.092,3.391708,2.441927
0.4147781,0.986,1.0000594,1.000282
0.5724844,0.104,3.383733,2.5453959
0.34860626,0.09,2.676659,1.4626338
0.21351562,0.699,1.0002859,1.0001879
0.62045,0.652,1.1121855,1.058356
0.699875,0.374,2.222638,1.826845
0.5399125,0.424,1.4190699,1.2183475
0.20965625,0.758,1.0002229,1.0001187
0.6489844,0.085,3.5874372,2.8391366
0.29826564,0.122,1.5381536,1.0840437
0.26657814,0.159,1.0097847,0.99993765
0.5831031,0.702,1.0354798,1.0180012
0.07404062,0.642,1.0001872,1.0000844
0.18878438,0.971,0.99997574,0.99983734
0.8777281,0.825,1.2450839,1.1516743
0.5386875,0.23,2.4661217,1.8661283
0.2852,0.16,1.0948973,1.0135862
0.68785936,0.478,1.7194155,1.4485301
0.34965,0.105,2.4746625,1.4165151
0.5357937,0.045,3.7069855,2.592992
0.8522125,0.331,2.82065,2.4174285
0.8176719,0.423,2.338705,1.9729611
0.5878375,0.657,1.067635,1.0341256
0.5487,0.58,1.0933869,1.0456799
0.168375,0.047,1.0002825,0.9988099
0.33147812,0.212,1.2531818,1.0669407
0.16375,0.938,0.9999433,0.9999237
0.8211719,0.723,1.3352162,1.2061849
0.10628437,0.655,1.0001612,1.0001384
0.14460938,0.133,1.0000542,0.99990106
0.821625,0.657,1.4941263,1.3152391
0.28113437,0.411,0.99982345,1.0002766
0.08136562,0.208,0.99981815,0.9999169
0.54214686,0.467,1.290083,1.1478112
0.30480936,0.205,1.1023897,1.0194222
0.7044875,0.53,1.5788723,1.3556428
0.34082812,0.248,1.1699187,1.0487437
0.8626469,0.148,3.540165,3.1026435
0.4214125,0.474,1.0286415,1.0114026
0.27840313,0.886,0.9998492,0.99988705
0.15299375,0.376,0.9999017,1.0000452
0.8629063,0.705,1.4601583,1.2958603
0.8484219,0.029,3.9100564,3.3254945
0.11491875,0.073,0.99984723,0.9996676
0.9455031,0.698,1.6576099,1.4509566
0.4366625,0.233,1.9136567,1.4106264
0.19215937,0.633,1.0002711,1.0002022
0.474425,0.676,1.003277,1.0017798
0.5342031,0.229,2.4546957,1.8521748
0.07443125,0.144,0.99970955,0.9997723
0.90980315,0.739,1.4732026,1.3102514
0.533,0.634,1.0344563,1.016657
0.9357,0.594,1.9686322,1.6949478
0.48566562,0.824,1.0006036,1.0004292
0.0733125,0.727,1.0001955,1.0001091
0.73340315,0.92,1.0285244,1.015451
0.7792969,0.757,1.2025391,1.1178503
0.6118719,0.398,1.800844,1.4778204
0.112678126,0.823,1.0000966,1.0001116
0.7196531,0.546,1.5682634,1.3514153
0.8255531,0.21,3.270013,2.824482
0.5565781,0.754,1.0096042,1.0051199
0.23543437,0.986,0.99992615,0.9998656
0.11102188,0.926,0.9999816,1.0000986
0.5275125,0.838,1.0012367,1.0007573
0.77017814,0.152,3.4266691,2.9122813
0.2827969,0.964,0.9996558,0.99978226
0.9118125,0.898,1.1907727,1.1234674
0.42676562,0.576,1.0042088,1.00209
0.29675624,0.318,1.0023499,0.9999925
0.3042344,0.983,0.99964035,0.99973273
0.69867814,0.7,1.1640666,1.0908356
0.006975,0.768,1.0000308,1.0001278
0.9119656,0.374,2.7679932,2.3931997
0.734525,0.666,1.285264,1.1668786
0.09321562,0.345,0.9999215,1.0001163
0.53171873,0.431,1.3654901,1.1867977
0.14410312,0.19,0.99988806,0.9997951
0.45708126,0.688,1.0014532,1.0009563
0.56865937,0.893,1.0016372,1.000912
0.9042063,0.206,3.387576,2.9923377
0.2602875,0.045,1.6623918,1.0254967
0.91055626,0.588,1.9283626,1.6574894
0.58045936,0.879,1.0025663,1.0014403
0.25195,0.495,1.0001107,1.0002217
