x,t,ts
0.0,0.02,0.55340195
0.010012516,0.02,0.5656023
0.020025032,0.02,0.5778909
0.030037548,0.02,0.5902834
0.040050063,0.02,0.60279536
0.05006258,0.02,0.6154413
0.060075097,0.02,0.62823296
0.07008761,0.02,0.6411791
0.08010013,0.02,0.6542878
0.09011264,0.02,0.6675632
0.10012516,0.02,0.6810062
0.11013767,0.02,0.69461775
0.12015019,0.02,0.7083945
0.1301627,0.02,0.7223296
0.14017522,0.02,0.7364154
0.15018773,0.02,0.7506423
0.16020025,0.02,0.76499605
0.17021278,0.02,0.77946377
0.18022528,0.02,0.794029
0.1902378,0.02,0.8086736
0.20025031,0.02,0.82337856
0.21026284,0.02,0.8381238
0.22027534,0.02,0.8528886
0.23028786,0.02,0.86765003
0.24030039,0.02,0.8823831
0.2503129,0.02,0.8970685
0.26032543,0.02,0.9116802
0.27033794,0.02,0.92619324
0.28035045,0.02,0.94058514
0.29036295,0.02,0.95483017
0.3003755,0.02,0.96890545
0.310388,0.02,0.9827857
0.3204005,0.02,0.99644923
0.330413,0.02,1.0098717
0.34042555,0.02,1.0230327
0.35043806,0.02,1.0359089
0.36045057,0.02,1.04848
0.37046307,0.02,1.0607259
0.3804756,0.02,1.072628
0.39048812,0.02,1.0841682
0.40050063,0.02,1.0953288
0.41051313,0.02,1.1060956
0.42052567,0.02,1.1164522
0.43053818,0.02,1.1263859
0.44055068,0.02,1.1358843
0.4505632,0.02,1.1449358
0.46057573,0.02,1.1535282
0.47058824,0.02,1.1616569
0.48060077,0.02,1.1693094
0.49061328,0.02,1.176481
0.5006258,0.02,1.1831636
0.5106383,0.02,1.1893544
0.52065086,0.02,1.1950483
0.5306634,0.02,1.2002423
0.5406759,0.02,1.2049332
0.5506884,0.02,1.2091212
0.5607009,0.02,1.212805
0.5707134,0.02,1.2159853
0.5807259,0.02,1.2186639
0.5907384,0.02,1.2208419
0.600751,0.02,1.2225225
0.6107635,0.02,1.2237105
0.620776,0.02,1.2244096
0.6307885,0.02,1.2246242
0.640801,0.02,1.2243619
0.6508135,0.02,1.2236297
0.660826,0.02,1.2224348
0.67083853,0.02,1.220787
0.6808511,0.02,1.2186937
0.6908636,0.02,1.2161674
0.7008761,0.02,1.2132206
0.7108886,0.02,1.209863
0.72090113,0.02,1.2061112
0.73091364,0.02,1.2019756
0.74092615,0.02,1.1974747
0.75093865,0.02,1.1926248
0.7609512,0.02,1.1874425
0.7709637,0.02,1.181947
0.78097624,0.02,1.1761558
0.79098874,0.02,1.1700916
0.80100125,0.02,1.1637759
0.81101376,0.02,1.1572309
0.82102627,0.02,1.1504788
0.8310388,0.02,1.1435452
0.84105134,0.02,1.1364541
0.85106385,0.02,1.1292334
0.86107635,0.02,1.1219091
0.87108886,0.02,1.1145067
0.88110137,0.02,1.1070542
0.8911139,0.02,1.0995817
0.9011264,0.02,1.0921152
0.9111389,0.02,1.0846844
0.92115146,0.02,1.0773158
0.93116397,0.02,1.0700393
0.9411765,0.02,1.0628805
0.951189,0.02,1.0558686
0.96120155,0.02,1.0490279
0.97121406,0.02,1.0423856
0.98122656,0.02,1.0359659
0.9912391,0.02,1.0297914
1.0012516,0.02,1.0238833
1.0112641,0.02,1.0182638
1.0212766,0.02,1.0129495
1.0312891,0.02,1.0079575
1.0413016,0.02,1.0033069
1.0513141,0.02,0.99900436
1.0613266,0.02,0.99506545
1.0713391,0.02,0.9914973
1.0813516,0.02,0.9883084
1.0913641,0.02,0.98550034
1.1013767,0.02,0.9830818
1.1113892,0.02,0.9810493
1.1214018,0.02,0.9794035
1.1314143,0.02,0.97814155
1.1414268,0.02,0.9772601
1.1514393,0.02,0.97675276
1.1614518,0.02,0.97661424
1.1714643,0.02,0.97683525
1.1814768,0.02,0.9774084
1.1914895,0.02,0.9783261
1.2015018,0.02,0.9795737
1.2115144,0.02,0.9811468
1.2215269,0.02,0.9830315
1.2315394,0.02,0.9852202
1.2415519,0.02,0.98770237
1.2515644,0.02,0.9904671
1.2615769,0.02,0.99350715
1.2715895,0.02,0.99681187
1.281602,0.02,1.0003743
1.2916145,0.02,1.0041847
1.301627,0.02,1.008235
1.3116395,0.02,1.0125175
1.321652,0.02,1.0170236
1.3316646,0.02,1.0217438
1.3416771,0.02,1.0266714
1.3516896,0.02,1.031796
1.3617022,0.02,1.0371063
1.3717147,0.02,1.0425911
1.3817272,0.02,1.0482383
1.3917397,0.02,1.0540328
1.4017522,0.02,1.0599608
1.4117647,0.02,1.0660043
1.4217772,0.02,1.0721433
1.4317899,0.02,1.0783603
1.4418023,0.02,1.084631
1.4518148,0.02,1.0909314
1.4618273,0.02,1.0972371
1.4718398,0.02,1.1035204
1.4818523,0.02,1.1097541
1.4918648,0.02,1.1159072
1.5018773,0.02,1.1219513
1.5118899,0.02,1.1278565
1.5219024,0.02,1.1335902
1.531915,0.02,1.139123
1.5419275,0.02,1.144423
1.55194,0.02,1.1494613
1.5619525,0.02,1.1542068
1.571965,0.02,1.1586328
1.5819775,0.02,1.1627135
1.59199,0.02,1.1664217
1.6020025,0.02,1.1697335
1.612015,0.02,1.1726294
1.6220275,0.02,1.175087
1.63204,0.02,1.1770906
1.6420525,0.02,1.1786246
1.652065,0.02,1.1796744
1.6620775,0.02,1.1802294
1.67209,0.02,1.1802833
1.6821027,0.02,1.1798284
1.6921152,0.02,1.1788602
1.7021277,0.02,1.1773782
1.7121402,0.02,1.1753831
1.7221527,0.02,1.1728778
1.7321652,0.02,1.1698685
1.7421777,0.02,1.1663625
1.7521904,0.02,1.1623697
1.7622027,0.02,1.1579022
1.7722152,0.02,1.1529741
1.7822278,0.02,1.1476018
1.7922403,0.02,1.1418042
1.8022528,0.02,1.1355996
1.8122653,0.02,1.1290102
1.8222778,0.02,1.1220605
1.8322904,0.02,1.1147735
1.8423029,0.02,1.1071763
1.8523154,0.02,1.0992942
1.8623279,0.02,1.0911565
1.8723404,0.02,1.0827887
1.882353,0.02,1.0742218
1.8923655,0.02,1.0654836
1.902378,0.02,1.056601
1.9123905,0.02,1.0476041
1.9224031,0.02,1.038518
1.9324156,0.02,1.0293708
1.9424281,0.02,1.0201862
1.9524406,0.02,1.0109906
1.9624531,0.02,1.0018044
1.9724656,0.02,0.9926503
1.9824781,0.02,0.98354673
1.9924908,0.02,0.97451353
2.0025032,0.02,0.96556497
2.0125158,0.02,0.95671654
2.0225282,0.02,0.9479809
2.0325408,0.02,0.9393692
2.0425532,0.02,0.93089056
2.0525658,0.02,0.92255306
2.0625782,0.02,0.91436434
2.0725908,0.02,0.9063275
2.0826032,0.02,0.89844704
2.0926158,0.02,0.8907261
2.1026282,0.02,0.8831644
2.1126409,0.02,0.8757646
2.1226532,0.02,0.868525
2.1326659,0.02,0.8614459
2.1426783,0.02,0.8545258
2.152691,0.02,0.84776115
2.1627035,0.02,0.8411491
2.1727161,0.02,0.83468866
2.1827285,0.02,0.82837725
2.1927412,0.02,0.8222089
2.2027535,0.02,0.8161826
2.2127662,0.02,0.81029415
2.2227786,0.02,0.80454206
2.2327912,0.02,0.7989197
2.2428036,0.02,0.79342794
2.2528162,0.02,0.7880621
2.2628286,0.02,0.7828193
2.2728412,0.02,0.77769804
2.2828536,0.02,0.772696
2.2928662,0.02,0.7678106
2.3028786,0.02,0.7630429
2.3128912,0.02,0.758389
2.3229036,0.02,0.7538495
2.3329163,0.02,0.749423
2.3429286,0.02,0.74510956
2.3529413,0.02,0.7409103
2.3629537,0.02,0.73682404
2.3729663,0.02,0.732852
2.3829787,0.02,0.72899437
2.3929913,0.02,0.7252536
2.4030037,0.02,0.7216308
2.4130163,0.02,0.71812534
2.4230287,0.02,0.7147417
2.4330413,0.02,0.71147966
2.4430537,0.02,0.70834136
2.4530663,0.02,0.70532894
2.4630787,0.02,0.70244455
2.4730914,0.02,0.6996896
2.483104,0.02,0.6970668
2.4931166,0.02,0.69457626
2.503129,0.02,0.69222116
2.5131416,0.02,0.6900029
2.523154,0.02,0.687922
2.5331666,0.02,0.68597937
2.543179,0.02,0.6841769
2.5531917,0.02,0.68251467
2.563204,0.02,0.68099475
2.5732167,0.02,0.67961264
2.583229,0.02,0.6783724
2.5932417,0.02,0.6772704
2.603254,0.02,0.6763072
2.6132667,0.02,0.6754813
2.623279,0.02,0.6747894
2.6332917,0.02,0.6742296
2.643304,0.02,0.6737993
2.6533167,0.02,0.6734965
2.6633291,0.02,0.6733146
2.6733418,0.02,0.67325354
2.6833541,0.02,0.6733074
2.6933668,0.02,0.6734712
2.7033792,0.02,0.6737399
2.7133918,0.02,0.6741092
2.7234044,0.02,0.674572
2.733417,0.02,0.67512393
2.7434294,0.02,0.67575884
2.753442,0.02,0.6764717
2.7634544,0.02,0.67725205
2.773467,0.02,0.6780982
2.7834795,0.02,0.67900324
2.793492,0.02,0.6799574
2.8035045,0.02,0.6809573
2.813517,0.02,0.68199515
2.8235295,0.02,0.6830654
2.833542,0.02,0.68416166
2.8435545,0.02,0.68527603
2.8535671,0.02,0.6864047
2.8635795,0.02,0.6875396
2.8735921,0.02,0.68867874
2.8836045,0.02,0.6898117
2.8936172,0.02,0.6909375
2.9036295,0.02,0.69204926
2.9136422,0.02,0.6931424
2.9236546,0.02,0.6942129
2.9336672,0.02,0.69525504
2.9436796,0.02,0.6962676
2.9536922,0.02,0.6972461
2.9637046,0.02,0.69818664
2.9737172,0.02,0.69908667
2.9837296,0.02,0.69994307
2.9937422,0.02,0.7007549
3.0037546,0.02,0.70151806
3.0137672,0.02,0.7022331
3.0237796,0.02,0.7028961
3.0337923,0.02,0.7035079
3.043805,0.02,0.7040682
3.0538175,0.02,0.70457363
3.06383,0.02,0.7050252
3.0738425,0.02,0.70542383
3.083855,0.02,0.7057688
3.0938675,0.02,0.70605993
3.10388,0.02,0.7062988
3.1138926,0.02,0.7064853
3.123905,0.02,0.70661974
3.1339176,0.02,0.70670605
3.14393,0.02,0.7067418
3.1539426,0.02,0.70673156
3.163955,0.02,0.706676
3.1739676,0.02,0.70657635
3.18398,0.02,0.7064359
3.1939926,0.02,0.7062545
3.204005,0.02,0.7060361
3.2140176,0.02,0.7057829
3.22403,0.02,0.7054961
3.2340426,0.02,0.7051809
3.244055,0.02,0.70483637
3.2540677,0.02,0.7044678
3.26408,0.02,0.70407677
3.2740927,0.02,0.70366716
3.2841053,0.02,0.7032409
3.294118,0.02,0.7028012
3.3041303,0.02,0.70235085
3.314143,0.02,0.7018938
3.3241553,0.02,0.70143175
3.334168,0.02,0.7009704
3.3441803,0.02,0.7005112
3.354193,0.02,0.700057
3.3642054,0.02,0.69961214
3.374218,0.02,0.6991787
3.3842304,0.02,0.69876146
3.394243,0.02,0.69836426
3.4042554,0.02,0.6979892
3.414268,0.02,0.69763947
3.4242804,0.02,0.6973195
3.434293,0.02,0.69703245
3.4443054,0.02,0.6967821
3.454318,0.02,0.6965704
3.4643304,0.02,0.6964021
