t,tf0,ts0
520392.5938,861.5832,782.3384
522870.6562,873.8817,845.7653
525348.6875,872.7611,860.7208
527826.7500,872.7987,867.1849
530304.8750,872.9425,870.1216
532782.8750,873.2113,871.7595
535260.9375,873.2056,872.5652
537739.0000,873.4261,872.9142
540217.0625,873.3198,872.5864
542695.1250,873.3409,872.5757
545173.2500,872.9807,872.7957
547651.2500,872.9099,872.7887
550129.3125,872.9598,873.4479
552607.3750,873.0596,873.5721
555085.4375,873.0413,874.0356
557563.5000,872.8441,873.6407
560041.5625,873.0808,873.5148
562519.6250,873.3695,873.1229
564997.6875,871.8729,871.9563
567475.7500,867.0743,869.3546
569953.7500,858.1807,863.6400
572431.8750,844.4932,853.9537
574909.9375,825.5145,839.2749
577388.0000,801.4955,819.0862
579866.0000,774.1012,795.3129
582344.1250,744.6179,767.6274
584822.1250,738.9631,744.2287
587300.1875,742.4281,741.7339
589778.2500,740.8546,740.2383
592256.3750,740.2915,740.1460
594734.3750,739.5440,739.8311
597212.4375,738.5609,739.8896
599690.5000,737.0429,737.5127
602168.5625,731.4950,732.8069
